Function	Code	File
bool db_access(char* fileName)	call fo::funcoffs::db_access_;    // check art file exists	Modules\HeroAppearance.cpp
	bool hookHasScript = fo::func::db_access(filePath);	Modules\HookScripts.cpp
	if (!fo::func::db_access("art\\intrface\\worldmap.frm")) return;	Modules\Interface.cpp
	call fo::funcoffs::db_access_;	Modules\LoadOrder.cpp
	return (path && fo::func::db_access(path)) ? path : premadePath;	Modules\Premade.cpp
	if (direction > 0 && !fo::func::db_access(artPathName)) {	Modules\Scripting\Handlers\Interface.cpp
	if (fo::func::db_access(outFilePath)) return direction;	Modules\Scripting\Handlers\Interface.cpp
void DrawCard()	jmp  fo::funcoffs::DrawCard_;	Modules\Karma.cpp
void ListTraits()	call fo::funcoffs::ListTraits_;	Modules\HeroAppearance.cpp
void ListDPerks()	call fo::funcoffs::ListDPerks_;	Modules\Perks.cpp
DWORD folder_print_seperator(char* text)	if (fo::func::folder_print_seperator(message)) {	Modules\Drugs.cpp
DWORD folder_print_line(char* text)	if (fo::func::folder_print_line(message)) {	Modules\Drugs.cpp
	if (fo::func::folder_print_line(fakeTraits[i].Name) && !isSelect) {	Modules\Perks.cpp
void elevator_start()	jmp  fo::funcoffs::elevator_start_;	Modules\Elevators.cpp
void elevator_end()	jmp  fo::funcoffs::elevator_end_;	Modules\Elevators.cpp
void Check4Keys()	call fo::funcoffs::Check4Keys_;	Modules\Elevators.cpp
void endgame_slideshow()	call fo::funcoffs::endgame_slideshow_;	Modules\SpeedPatch.cpp
void endgame_load_palette(DWORD artType, DWORD fid)	fo::func::endgame_load_palette(fo::ArtType::OBJ_TYPE_INTRFACE, artID & 0xFFF);	HRP\SlidesScreen.cpp
	fo::func::endgame_load_palette(fo::ArtType::OBJ_TYPE_INTRFACE, 327); // panning desert image (DP.FRM)	HRP\SlidesScreen.cpp
void findVar()	jmp  fo::funcoffs::findVar_;	Modules\ScriptExtender.cpp
	jmp  fo::funcoffs::findVar_;       // else - proceed normal	Modules\ScriptExtender.cpp
DWORD FMtext_width(char* text)	return fo::func::FMtext_width(TextMsg); //get text width	FalloutEngine\EngineUtils.cpp
void FMtext_char_width()	call fo::funcoffs::FMtext_char_width_;	FalloutEngine\EngineUtils.cpp
void FMtext_to_buf()	call fo::funcoffs::FMtext_to_buf_;	FalloutEngine\EngineUtils.cpp
void game_reset()	jmp  fo::funcoffs::game_reset_;	Modules\LoadGameHook.cpp
	jmp  fo::funcoffs::game_reset_;	Modules\LoadGameHook.cpp
void game_exit()	jmp  fo::funcoffs::game_exit_;	Modules\LoadGameHook.cpp
DWORD game_get_global_var(DWORD globalVar)	if (fo::func::game_get_global_var(fo::GVAR_CAR_BLOWER)) {	Modules\HookScripts\MiscHs.cpp
	if (fo::func::game_get_global_var(fo::GVAR_NEW_RENO_CAR_UPGRADE)) {	Modules\HookScripts\MiscHs.cpp
	if (fo::func::game_get_global_var(fo::GVAR_NEW_RENO_SUPER_CAR)) {	Modules\HookScripts\MiscHs.cpp
void game_set_global_var()	jmp  fo::funcoffs::game_set_global_var_;	Modules\HookScripts\MiscHs.cpp
void game_screendump()	call fo::funcoffs::game_screendump_; // call ds:[FO_VAR_screendump_func];	Modules\Graphics.cpp
void game_help()	call fo::funcoffs::game_help_;	Modules\LoadGameHook.cpp
void game_quit_with_confirm()	call fo::funcoffs::game_quit_with_confirm_;	WinProc.cpp
void gdialogActive()	jmp  fo::funcoffs::gdialogActive_;	Modules\BugFixes.cpp
	call fo::funcoffs::gdialogActive_;	Modules\BugFixes.cpp
void gdialogDisplayMsg(char* message)	cmp  dword ptr [esp + 0x1AC - 0x14 + 4], 0x445448; // gdialogDisplayMsg_	Modules\BugFixes.cpp
	cmp  dword ptr [esp + 0x1AC - 0x14 + 4], 0x445448; // gdialogDisplayMsg_	Modules\BugFixes.cpp
	jmp  fo::funcoffs::gdialogDisplayMsg_;	Modules\BugFixes.cpp
	cmp  dword ptr [esp + 0x1AC - 0x14], 0x445448; // gdialogDisplayMsg_	Modules\BugFixes.cpp
	fo::func::gdialogDisplayMsg(message);	Modules\Scripting\Handlers\Interface.cpp
void gdReviewInit()	call fo::funcoffs::gdReviewInit_;	Modules\LoadGameHook.cpp
void gdReviewExit()	jmp fo::funcoffs::gdReviewExit_;	Modules\LoadGameHook.cpp
void gdDestroyHeadWindow()	call fo::funcoffs::gdDestroyHeadWindow_;	Modules\LoadGameHook.cpp
void talk_to_critter_reacts()	jmp  fo::funcoffs::talk_to_critter_reacts_; // -1 - good, 0 - neutral, 1 - bad	Modules\BugFixes.cpp
void gdialog_window_create()	call fo::funcoffs::gdialog_window_create_;	Modules\LoadGameHook.cpp
void gdialog_window_destroy()	jmp fo::funcoffs::gdialog_window_destroy_;	Modules\LoadGameHook.cpp
	jmp  fo::funcoffs::gdialog_window_destroy_;	Modules\LoadGameHook.cpp
void talk_to_translucent_trans_buf_to_buf()	jmp  fo::funcoffs::talk_to_translucent_trans_buf_to_buf_;	Modules\TalkingHeads.cpp
void gmouse_bk_process()	jmp  fo::funcoffs::gmouse_bk_process_;	HRP\Init.cpp
DWORD gmouse_set_cursor(DWORD picNum)	call fo::funcoffs::gmouse_set_cursor_;	Modules\BugFixes.cpp
	fo::func::gmouse_set_cursor(1);	Modules\HeroAppearance.cpp
	fo::func::gmouse_set_cursor(oldMouse);	Modules\HeroAppearance.cpp
	call fo::funcoffs::gmouse_set_cursor_;	Modules\LoadGameHook.cpp
	fo::func::gmouse_set_cursor(20);	Modules\PartyControl.cpp
	fo::func::gmouse_set_cursor(0);	Modules\PartyControl.cpp
void gmouse_3d_set_mode(DWORD mode)	fo::func::gmouse_3d_set_mode(2);	Modules\PartyControl.cpp
	fo::func::gmouse_3d_set_mode(1);	Modules\PartyControl.cpp
	fo::func::gmouse_3d_set_mode(ctx.arg(0).rawValue());	Modules\Scripting\Handlers\Interface.cpp
GameObject* object_under_mouse(DWORD crSwitch, DWORD inclDude, DWORD elevation)	fo::GameObject* underObject = fo::func::object_under_mouse(1, 0, fo::var::map_elevation);	Modules\PartyControl.cpp
	fo::func::object_under_mouse(ctx.arg(0).asBool() ? 1 : -1, ctx.arg(1).rawValue(), fo::var::map_elevation)	Modules\Scripting\Handlers\Objects.cpp
void gmovie_play()	jmp  fo::funcoffs::gmovie_play_;	Modules\MiscPatches.cpp
	MakeJump(0x44E690, gmovie_play_hack);	Modules\Movies.cpp
void gmovieIsPlaying()	jmp  fo::funcoffs::gmovieIsPlaying_;	Modules\BugFixes.cpp
void gsound_background_volume_get()	backgroundVolume = fo::func::gsound_background_volume_get_set(0);	Modules\Movies.cpp
	if (backgroundVolume) backgroundVolume = fo::func::gsound_background_volume_get_set(backgroundVolume); // restore volume	Modules\Movies.cpp
DWORD gsound_background_volume_get_set(DWORD setVolume)	backgroundVolume = fo::func::gsound_background_volume_get_set(0);	Modules\Movies.cpp
	if (backgroundVolume) backgroundVolume = fo::func::gsound_background_volume_get_set(backgroundVolume); // restore volume	Modules\Movies.cpp
void gsound_background_play()	jmp  fo::funcoffs::gsound_background_play_;	Modules\MiscPatches.cpp
void gsound_background_play_level_music()	jmp  fo::funcoffs::gsound_background_play_level_music_;	Modules\MiscPatches.cpp
void gsound_background_stop()	__asm call fo::funcoffs::gsound_background_stop_;	Modules\Sound.cpp
	jmp  fo::funcoffs::gsound_background_stop_;	Modules\Sound.cpp
void gsound_background_restart_last()	__asm call fo::funcoffs::gsound_background_restart_last_;	Modules\Sound.cpp
void gsound_background_pause()	jmp  fo::funcoffs::gsound_background_pause_;	Modules\Sound.cpp
void gsound_background_unpause()	jmp  fo::funcoffs::gsound_background_unpause_;	Modules\Sound.cpp
void gsound_speech_length_get()	jmp  fo::funcoffs::gsound_speech_length_get_;	Modules\Sound.cpp
void gsound_speech_play()	call fo::funcoffs::gsound_speech_play_;	Modules\Sound.cpp
void gsound_delete_sfx()	call fo::funcoffs::gsound_delete_sfx_;	Modules\Animations.cpp
void gsound_red_butt_press()	__asm call fo::funcoffs::gsound_red_butt_press_;	Modules\ExtraSaveSlots.cpp
	__asm call fo::funcoffs::gsound_red_butt_press_;	Modules\ExtraSaveSlots.cpp
	__asm call fo::funcoffs::gsound_red_butt_press_;	Modules\ExtraSaveSlots.cpp
	__asm call fo::funcoffs::gsound_red_butt_press_;	Modules\ExtraSaveSlots.cpp
	mov  edx, fo::funcoffs::gsound_red_butt_press_;	Modules\Interface.cpp
	mov  edx, fo::funcoffs::gsound_red_butt_press_;	Modules\QuestList.cpp
void gsound_red_butt_release()	mov  ebx, fo::funcoffs::gsound_red_butt_release_;	Modules\Interface.cpp
	mov  ebx, fo::funcoffs::gsound_red_butt_release_;	Modules\QuestList.cpp
void gsound_med_butt_press()	mov  edx, fo::funcoffs::gsound_med_butt_press_;	Modules\Interface.cpp
	mov edx, 0x451988 // gsound_med_butt_press_	Modules\MiscPatches.cpp
void gsound_med_butt_release()	mov ebx, 0x451990 // gsound_med_butt_release_	Modules\MiscPatches.cpp
void gsound_play_sfx_file(char* name)	fo::func::gsound_play_sfx_file((const char*)0x50163C); // "monitor"	Game\GUI\Text.cpp
	jmp  fo::funcoffs::gsound_play_sfx_file_;	Modules\DebugEditor.cpp
	fo::func::gsound_play_sfx_file("ib1p1xx1");	Modules\HeroAppearance.cpp
	fo::func::gsound_play_sfx_file("ib1p1xx1");	Modules\HeroAppearance.cpp
	fo::func::gsound_play_sfx_file("ib1p1xx1");	Modules\HeroAppearance.cpp
	fo::func::gsound_play_sfx_file("ib3p1xx1");	Modules\HeroAppearance.cpp
	fo::func::gsound_play_sfx_file("ISDXXXX1");	Modules\HeroAppearance.cpp
	fo::func::gsound_play_sfx_file("IB3LU1X1");	Modules\HeroAppearance.cpp
	call fo::funcoffs::gsound_play_sfx_file_;	Modules\Interface.cpp
	call fo::funcoffs::gsound_play_sfx_file_;	Modules\Interface.cpp
	fo::func::gsound_play_sfx_file("IISXXXX1");	Modules\LoadGameHook.cpp
	jmp  fo::funcoffs::gsound_play_sfx_file_;	Modules\MiscPatches.cpp
	call fo::funcoffs::gsound_play_sfx_file_;	Modules\Sound.cpp
void correctFidForRemovedItem(GameObject* critter, GameObject* item, DWORD slotFlag)	if (result) fo::func::correctFidForRemovedItem(critter, item, flags);	Game\inventory.cpp
	jmp  fo::funcoffs::correctFidForRemovedItem_;	Modules\HookScripts\InventoryHs.cpp
void intface_hide()	__asm call fo::funcoffs::intface_hide_;	Modules\Scripting\Handlers\Interface.cpp
void intface_show()	__asm call fo::funcoffs::intface_show_;	Modules\Scripting\Handlers\Interface.cpp
DWORD intface_is_hidden()	ctx.setReturn(fo::func::intface_is_hidden());	Modules\Scripting\Handlers\Interface.cpp
void intface_redraw()	fo::func::intface_redraw();	Modules\PartyControl.cpp
	fo::func::intface_redraw();	Modules\PartyControl.cpp
	fo::func::intface_redraw();	Modules\Scripting\Handlers\Interface.cpp
void intface_update_hit_points()	call fo::funcoffs::intface_update_hit_points_;	Modules\Unarmed.cpp
void intface_update_ac(DWORD animate)	jmp  fo::funcoffs::intface_update_ac_;	Modules\BugFixes.cpp
	if (isDude) fo::func::intface_update_ac(0);	Modules\Scripting\Handlers\Inventory.cpp
void intface_update_move_points(DWORD ap, DWORD freeAP)	if (obj == fo::var::obj_dude) fo::func::intface_update_move_points(ap, fo::var::combat_free_move);	Modules\Scripting\Handlers\Stats.cpp
DWORD intface_get_attack(DWORD* hitMode, DWORD* isSecondary)	ctx.setReturn(!fo::func::intface_get_attack(&unused, &isAimed) ? isAimed : 0);	Modules\Scripting\Handlers\Combat.cpp
void intface_update_items(DWORD animate, DWORD modeLeft, DWORD modeRight)	jmp  fo::funcoffs::intface_update_items_;	Modules\Inventory.cpp
	jmp  fo::funcoffs::intface_update_items_;	Modules\Unarmed.cpp
	if (update) fo::func::intface_update_items(0, -1, -1);	Modules\Scripting\Handlers\Inventory.cpp
void intface_toggle_items()	jmp fo::funcoffs::intface_toggle_items_;	Modules\Scripting\Handlers\Inventory.cpp
void intface_get_item_states()	call fo::funcoffs::intface_get_item_states_;	Modules\Unarmed.cpp
void intface_toggle_item_state()	fo::func::intface_toggle_item_state();	Modules\Inventory.cpp
void intface_use_item()	fo::func::intface_use_item();	Modules\Inventory.cpp
	fo::func::intface_use_item();	Modules\Inventory.cpp
DWORD intface_is_item_right_hand()	auto itemInHand = fo::func::intface_is_item_right_hand()	Game\inventory.cpp
void construct_box_bar_win()	call fo::funcoffs::construct_box_bar_win_;	Modules\BarBoxes.cpp
void reset_box_bar_win()	call fo::funcoffs::reset_box_bar_win_;	Modules\BarBoxes.cpp
void refresh_box_bar_win()	__asm call fo::funcoffs::refresh_box_bar_win_;	Modules\BarBoxes.cpp
	__asm call fo::funcoffs::refresh_box_bar_win_;	Modules\BarBoxes.cpp
void add_bar_box()	call fo::funcoffs::add_bar_box_;	Modules\BarBoxes.cpp
char* findCurrentProc(Program* program)	metafunc, fo::var::currentProgram->fileName, fo::func::findCurrentProc(fo::var::currentProgram));	Modules\MetaruleExtender.cpp
	const char* procName = fo::func::findCurrentProc(_program);	Modules\Scripting\OpcodeContext.cpp
void interpretError()	__asm jmp fo::funcoffs::interpretError_;	FalloutEngine\Functions.cpp
	fo::func::interpretError("Unknown opcode: %d", opcode);	Modules\Scripting\Opcodes.cpp
void fetchLong()	SafeWrite32(0x4672A4, 0x0F02048B);	Modules\MiscPatches.cpp
void pushLongStack()	call fo::funcoffs::pushLongStack_;	Modules\BugFixes.cpp
void interpretPushShort()	call fo::funcoffs::interpretPushShort_; // pushes value type to Data stack (must be preceded by InterpretPushLong)	FalloutEngine\Functions.cpp
	call fo::funcoffs::interpretPushShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPushShort_;	Modules\Scripting\Handlers\Graphics.cpp
void interpretPushLong()	call fo::funcoffs::interpretPushLong_;  // pushes value to Data stack (must be followed by InterpretPushShort)	FalloutEngine\Functions.cpp
	call fo::funcoffs::interpretPushLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPushLong_;	Modules\Scripting\Handlers\Graphics.cpp
DWORD interpretPopShort(Program* scriptPtr)	call fo::funcoffs::interpretPopShort_; // pops value type from Data stack (must be followed by InterpretPopLong)	FalloutEngine\Functions.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopShort_;	Modules\Scripting\Handlers\Graphics.cpp
	if ((short)fo::func::interpretPopShort(script) != (short)VAR_TYPE_INT) illegalArg++;	Modules\Scripting\Handlers\Memory.cpp
DWORD interpretPopLong(Program* scriptPtr)	call fo::funcoffs::interpretPopLong_; // pops value from Data stack (must be preceded by InterpretPopShort)	FalloutEngine\Functions.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretPopLong_;	Modules\Scripting\Handlers\Graphics.cpp
	args[i] = fo::func::interpretPopLong(script);	Modules\Scripting\Handlers\Memory.cpp
void interpretFreeProgram()	call fo::funcoffs::interpretFreeProgram_;	Modules\ScriptExtender.cpp
Program* allocateProgram(char* filePath)	? fo::func::allocateProgram(fileName)	Modules\ScriptExtender.cpp
char* interpretGetString(Program* scriptPtr, DWORD dataType, DWORD strId)	call fo::funcoffs::interpretGetString_; // retrieve string argument	FalloutEngine\Functions.cpp
	call fo::funcoffs::interpretGetString_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretGetString_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretGetString_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretGetString_;	Modules\Scripting\Handlers\Graphics.cpp
	call fo::funcoffs::interpretGetString_;	Modules\Scripting\Handlers\Graphics.cpp
	const char* str = fo::func::interpretGetString(script, type, strID);	Modules\Scripting\Handlers\Memory.cpp
	call fo::funcoffs::interpretGetString_;	Modules\Scripting\Handlers\Perks.cpp
void interpretAddString()	call fo::funcoffs::interpretAddString_;	FalloutEngine\Functions.cpp
DWORD interpret(Program* program, DWORD arg2)	prog.procLookup[i] = fo::func::interpretFindProcedure(prog.ptr, procTable[i]);	Modules\ScriptExtender.cpp
	fo::func::interpret(prog.ptr, -1);	Modules\ScriptExtender.cpp
	int procPosition = fo::func::interpretFindProcedure(sptr, procName);	Modules\ScriptExtender.cpp
	DWORD rawValue = fo::func::interpretGetValue(_program, rawValueType);	Modules\Scripting\OpcodeContext.cpp
	fo::func::interpretReturnValue(_program, _ret.rawValue(), getScriptTypeBySfallType(_ret.type()));	Modules\Scripting\OpcodeContext.cpp
	fo::func::interpretError("Unknown opcode: %d", opcode);	Modules\Scripting\Opcodes.cpp
	const char* str = fo::func::interpretGetString(script, type, strID);	Modules\Scripting\Handlers\Memory.cpp
	if ((short)fo::func::interpretPopShort(script) != (short)VAR_TYPE_INT) illegalArg++;	Modules\Scripting\Handlers\Memory.cpp
	args[i] = fo::func::interpretPopLong(script);	Modules\Scripting\Handlers\Memory.cpp
void executeProc()	fo::func::executeProcedure(sptr, procPosition);	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(prog->ptr, procPosition);	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(prog->ptr, procPosition);	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(script->prog.ptr, script->startProc); // run "start"	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(hook->prog.ptr, hook->callback);	Modules\HookScripts\Common.cpp
DWORD interpretFindProcedure(Program* scriptPtr, char* procName)	prog.procLookup[i] = fo::func::interpretFindProcedure(prog.ptr, procTable[i]);	Modules\ScriptExtender.cpp
	int procPosition = fo::func::interpretFindProcedure(sptr, procName);	Modules\ScriptExtender.cpp
void executeProcedure(Program* sptr, DWORD procNum)	fo::func::executeProcedure(sptr, procPosition);	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(prog->ptr, procPosition);	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(prog->ptr, procPosition);	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(script->prog.ptr, script->startProc); // run "start"	Modules\ScriptExtender.cpp
	fo::func::executeProcedure(hook->prog.ptr, hook->callback);	Modules\HookScripts\Common.cpp
	call fo::funcoffs::executeProcedure_;	Modules\HookScripts\ObjectHs.cpp
	call fo::funcoffs::executeProcedure_;	Modules\Scripting\Handlers\Anims.cpp
DWORD* runProgram(Program* progPtr)	fo::func::runProgram(prog.ptr);	Modules\ScriptExtender.cpp
	fo::func::runProgram(scriptPtr->program);	Modules\ScriptExtender.cpp
	fo::func::runProgram(it->prog.ptr);	Modules\ScriptExtender.cpp
void exit_inventory()	jmp fo::funcoffs::exit_inventory_;	Modules\LoadGameHook.cpp
	jmp fo::funcoffs::exit_inventory_;	Modules\LoadGameHook.cpp
void display_inventory(DWORD inventoryOffset, DWORD visibleOffset, DWORD mode)	fo::func::display_inventory(0, -1, mode);	Modules\Scripting\Handlers\Interface.cpp
void display_target_inventory(DWORD inventoryOffset, DWORD visibleOffset, DWORD* targetInventory, DWORD mode)	fo::func::display_target_inventory(0, -1, fo::var::target_pud, mode);	Modules\Scripting\Handlers\Interface.cpp
void inven_set_mouse()	jmp fo::funcoffs::inven_set_mouse_;	Modules\LoadGameHook.cpp
	jmp fo::funcoffs::inven_set_mouse_;	Modules\LoadGameHook.cpp
	jmp fo::funcoffs::inven_set_mouse_;	Modules\LoadGameHook.cpp
void switch_hand()	jmp  fo::funcoffs::switch_hand_;	Modules\PartyControl.cpp
	jmp  fo::funcoffs::switch_hand_;	Modules\HookScripts\InventoryHs.cpp
void adjust_ac()	call fo::funcoffs::adjust_ac_;	Modules\BugFixes.cpp
	call fo::funcoffs::adjust_ac_;	Modules\BugFixes.cpp
	call fo::funcoffs::adjust_ac_; // eax - source, edx - removed armor	Modules\BugFixes.cpp
	call fo::funcoffs::adjust_ac_;	Modules\BugFixes.cpp
void adjust_fid()	sf::MakeJump(fo::funcoffs::adjust_fid_, adjust_fid_replacement); // 0x4716E8	Game\inventory.cpp
GameObject* inven_right_hand(GameObject* critter)	itemPtr = fo::func::inven_right_hand(critter);	FalloutEngine\EngineUtils.cpp
	fo::GameObject* item = fo::func::inven_right_hand(critter);	Game\inventory.cpp
	handItem = fo::func::inven_right_hand(source);	Game\items.cpp
	call fo::funcoffs::inven_right_hand_;	Modules\BugFixes.cpp
	if (!fo::var::itemButtonItems[fo::HandSlot::Right].item && !fo::func::inven_right_hand(fo::var::obj_dude)) {	Modules\MiscPatches.cpp
	auto item = fo::func::inven_right_hand(npc);	Modules\PartyControl.cpp
	fo::GameObject* rItem = fo::func::inven_right_hand(fo::var::obj_dude);	Modules\PartyControl.cpp
	call fo::funcoffs::inven_right_hand_;	Modules\HookScripts\InventoryHs.cpp
	ctx.setReturn(fo::func::inven_right_hand(critter));	Modules\Scripting\Handlers\Inventory.cpp
GameObject* inven_left_hand(GameObject* critter)	itemPtr = fo::func::inven_left_hand(critter);	FalloutEngine\EngineUtils.cpp
	fo::GameObject* itemL = fo::func::inven_left_hand(critter);	Game\inventory.cpp
	handItem = fo::func::inven_left_hand(source);	Game\items.cpp
	call fo::funcoffs::inven_left_hand_;	Modules\BugFixes.cpp
	if (!fo::var::itemButtonItems[fo::HandSlot::Left].item && !fo::func::inven_left_hand(fo::var::obj_dude)) {	Modules\MiscPatches.cpp
	if (fo::util::AnimCodeByWeapon(fo::func::inven_left_hand(npc)) == critterAnim) { // definitely left hand	Modules\PartyControl.cpp
	auto item = fo::func::inven_left_hand(npc);	Modules\PartyControl.cpp
	fo::GameObject* lItem = fo::func::inven_left_hand(fo::var::obj_dude);	Modules\PartyControl.cpp
	call fo::funcoffs::inven_left_hand_;	Modules\HookScripts\InventoryHs.cpp
	ctx.setReturn(fo::func::inven_left_hand(critter));	Modules\Scripting\Handlers\Inventory.cpp
GameObject* inven_worn(GameObject* critter)	itemPtr = fo::func::inven_worn(critter);	FalloutEngine\EngineUtils.cpp
	item = fo::func::inven_worn(critter);	Game\inventory.cpp
	call fo::funcoffs::inven_worn_;	Modules\BugFixes.cpp
	call fo::funcoffs::inven_worn_;	Modules\BugFixes.cpp
	call fo::funcoffs::inven_worn_;	Modules\BugFixes.cpp
	ctx.setReturn(fo::func::inven_worn(critter));	Modules\Scripting\Handlers\Inventory.cpp
	item = fo::func::inven_worn(critter);	Modules\Scripting\Handlers\Inventory.cpp
GameObject* inven_pid_is_carried_ptr(GameObject* invenObj, DWORD pid)	call fo::funcoffs::inven_pid_is_carried_ptr_;	Modules\MiscPatches.cpp
void display_stats()	jmp  fo::funcoffs::display_stats_;	Modules\Unarmed.cpp
	fo::func::display_stats(); // calling the function outside of inventory screen will crash the game	Modules\Scripting\Handlers\Interface.cpp
GameObject* inven_find_type(GameObject* critter, DWORD itemType, DWORD* slot)	fo::GameObject* itemFind = fo::func::inven_find_type(source, fo::ItemType::item_type_drug, &slot);	Game\combatAI.cpp
	fo::GameObject* item = fo::func::inven_find_type(source, fo::ItemType::item_type_drug, &slot);	Game\combatAI.cpp
	item = fo::func::inven_find_type(source, fo::ItemType::item_type_drug, &slot);	Game\combatAI.cpp
	while (fo::GameObject* ammoFind = fo::func::inven_find_type(critter, fo::item_type_ammo, &currentSlot)) {	Modules\AI.cpp
void inven_find_id()	call fo::funcoffs::inven_find_id_;      // check prt (fix behavior)	Modules\BugFixes.cpp
	jmp  fo::funcoffs::inven_find_id_;      // vanilla behavior	Modules\BugFixes.cpp
DWORD inven_wield(GameObject* critter, GameObject* item, DWORD slot)	jmp  fo::funcoffs::inven_wield_;	Modules\Inventory.cpp
void invenWieldFunc()	jmp  fo::funcoffs::invenWieldFunc_;	Modules\HookScripts\InventoryHs.cpp
DWORD inven_unwield(GameObject* critter, DWORD slot)	call fo::funcoffs::inven_unwield_;	Modules\Inventory.cpp
	if (fo::func::inven_unwield(critter, (slot == fo::INVEN_TYPE_LEFT_HAND) ? fo::Left : fo::Right) == 0) {	Modules\Scripting\Handlers\Inventory.cpp
void invenUnwieldFunc()	jmp  fo::funcoffs::invenUnwieldFunc_;	Modules\HookScripts\InventoryHs.cpp
void inven_display_msg()	push fo::funcoffs::inven_display_msg_;	Game\GUI\Text.cpp
	call fo::funcoffs::inven_display_msg_;	Modules\Inventory.cpp
	jmp  fo::funcoffs::inven_display_msg_;	Modules\Inventory.cpp
DWORD barter_compute_value(GameObject* source, GameObject* target)	long computeCost = fo::func::barter_compute_value(source, target);	Modules\HookScripts\MiscHs.cpp
void barter_inventory()	call fo::funcoffs::barter_inventory_;	Modules\LoadGameHook.cpp
void drop_into_container()	call fo::funcoffs::drop_into_container_;	Modules\HookScripts\InventoryHs.cpp
void setup_move_timer_win()	jmp  fo::funcoffs::setup_move_timer_win_;	Modules\Inventory.cpp
void item_add_mult()	jmp  fo::funcoffs::item_add_mult_;	Modules\BugFixes.cpp
DWORD item_add_force(GameObject* critter, GameObject* item, DWORD count)	fo::func::item_add_force(source, item, 1);	Game\items.cpp
	call fo::funcoffs::item_add_force_;	Modules\BugFixes.cpp
	jmp  fo::funcoffs::item_add_force_;	Modules\BugFixes.cpp
	jmp  fo::funcoffs::item_add_force_;	Modules\Inventory.cpp
	jmp  fo::funcoffs::item_add_force_;	Modules\HookScripts\InventoryHs.cpp
	if (forceAdd) fo::func::item_add_force(critter, item, 1);	Modules\Scripting\Handlers\Inventory.cpp
DWORD item_remove_mult(GameObject* critter, GameObject* item, DWORD count)	return fo::func::item_remove_mult(source, item, count);	Game\items.cpp
